order,created_at,cancelled_at,total,customer,city,cancelled,city_group,order_date,order_month
#1001,2026-02-24 11:04:03+00:00,2026-03-03T19:56:44Z,3250.0,CUST-0001,Karachi,True,Karachi,2026-02-24,2026-02-01
#1002,2026-03-05 12:13:58+00:00,,2250.0,CUST-0002,Karachi,False,Karachi,2026-03-05,2026-03-01
#1003,2026-03-05 15:11:13+00:00,2026-03-05T22:57:37Z,3299.1,CUST-0003,Lahore,True,Lahore,2026-03-05,2026-03-01
#1004,2026-03-06 07:03:57+00:00,,3950.0,CUST-0004,Lahore,False,Lahore,2026-03-06,2026-03-01
#1005,2026-03-07 14:49:10+00:00,,3649.0,CUST-0005,Karachi,False,Karachi,2026-03-07,2026-03-01
#1006,2026-03-08 11:06:23+00:00,,3150.0,CUST-0006,Karachi,False,Karachi,2026-03-08,2026-03-01
#1007,2026-03-08 22:23:49+00:00,,3649.0,CUST-0007,Lahore,False,Lahore,2026-03-08,2026-03-01
#1008,2026-03-09 12:25:49+00:00,,3499.0,CUST-0008,Karachi,False,Karachi,2026-03-09,2026-03-01
#1009,2026-03-09 13:03:16+00:00,,2974.15,CUST-0009,Karachi,False,Karachi,2026-03-09,2026-03-01
#1010,2026-03-09 13:04:27+00:00,,2974.15,CUST-0010,Karachi,False,Karachi,2026-03-09,2026-03-01
#1011,2026-03-09 14:39:23+00:00,,2974.15,CUST-0011,Islamabad,False,Islamabad,2026-03-09,2026-03-01
#1012,2026-03-09 14:49:45+00:00,,2974.15,CUST-0012,Lahore,False,Lahore,2026-03-09,2026-03-01
#1013,2026-03-09 18:39:26+00:00,,3499.0,CUST-0013,Hyderabad,False,Hyderabad,2026-03-09,2026-03-01
#1014,2026-03-09 21:17:42+00:00,,1938.0,CUST-0014,Lahore,False,Lahore,2026-03-09,2026-03-01
#1015,2026-03-10 02:33:42+00:00,,2974.15,CUST-0015,Islamabad,False,Islamabad,2026-03-10,2026-03-01
#1016,2026-03-10 10:40:55+00:00,,3499.0,CUST-0016,Faisalabad,False,Faisalabad,2026-03-10,2026-03-01
#1017,2026-03-10 21:55:02+00:00,,4250.0,CUST-0017,Islamabad,False,Islamabad,2026-03-10,2026-03-01
#1018,2026-03-11 01:00:42+00:00,,2974.15,CUST-0018,Bahawalnagar,False,Other,2026-03-11,2026-03-01
#1019,2026-03-11 05:57:23+00:00,,5199.0,CUST-0019,Islamabad,False,Islamabad,2026-03-11,2026-03-01
#1020,2026-03-11 15:50:42+00:00,,5834.25,CUST-0020,Islamabad,False,Islamabad,2026-03-11,2026-03-01
#1021,2026-03-11 21:57:40+00:00,,3649.0,CUST-0021,Lahore,False,Lahore,2026-03-11,2026-03-01
#1022,2026-03-12 17:15:39+00:00,,1950.0,CUST-0022,Hyderabad,False,Hyderabad,2026-03-12,2026-03-01
#1023,2026-03-13 01:58:09+00:00,,3649.0,CUST-0023,Karachi,False,Karachi,2026-03-13,2026-03-01
#1024,2026-03-16 00:40:18+00:00,,3649.0,CUST-0024,Quetta,False,Other,2026-03-16,2026-03-01
#1025,2026-03-16 14:19:49+00:00,,150.0,CUST-0025,Rawalpindi,False,Rawalpindi,2026-03-16,2026-03-01
#1026,2026-03-16 21:09:43+00:00,,3649.0,CUST-0026,Karachi,False,Karachi,2026-03-16,2026-03-01
#1027,2026-03-18 07:48:16+00:00,,3649.0,CUST-0027,Karachi,False,Karachi,2026-03-18,2026-03-01
#1028,2026-03-18 09:47:18+00:00,,3649.0,CUST-0028,Hyderabad,False,Hyderabad,2026-03-18,2026-03-01
