order,created_at,cancelled_at,total,customer,city
#1501,2026-06-17T21:06:03Z,,1650.0,CUST-0439,Dera Ghazi Khan
#1502,2026-06-18T05:52:23Z,,6439.12,CUST-0440,Islamabad
#1503,2026-06-18T06:42:26Z,,1650.0,CUST-0441,Lahore
#1504,2026-06-18T08:09:00Z,,3145.0,CUST-0442,Faisalabad
#1505,2026-06-18T11:49:19Z,,1650.0,CUST-0443,Nowshera
#1506,2026-06-18T12:05:14Z,,3949.05,CUST-0444,Karachi
#1507,2026-06-18T14:14:56Z,,3950.0,CUST-0445,Multan
#1508,2026-06-18T14:44:28Z,,9499.12,CUST-0446,Lahore
#1509,2026-06-18T15:34:02Z,,3649.0,CUST-0447,Karachi
#1510,2026-06-18T16:27:18Z,,5299.05,CUST-0448,Karachi
#1511,2026-06-18T17:02:22Z,,2525.21,CUST-0449,Karachi
#1512,2026-06-18T18:11:14Z,,3145.0,CUST-0450,Matli
#1513,2026-06-18T18:41:20Z,,3100.0,CUST-0451,Karachi
#1514,2026-06-18T19:50:43Z,,3145.0,CUST-0452,Karachi
#1515,2026-06-18T19:55:33Z,,1600.0,CUST-0405,Karachi
#1516,2026-06-18T20:36:32Z,,3649.0,CUST-0453,Hafizabad
#1517,2026-06-18T23:05:10Z,,3649.0,CUST-0297,Islamabad
#1518,2026-06-19T08:01:25Z,,5985.0,CUST-0454,Karachi
#1519,2026-06-19T11:29:19Z,,3949.05,CUST-0455,Sadiqabad
#1520,2026-06-19T15:28:16Z,,3650.0,CUST-0456,Lahore
#1521,2026-06-19T17:29:06Z,,3950.0,CUST-0457,Hyderabad
#1522,2026-06-19T21:24:14Z,,3650.0,CUST-0458,Lahore
#1523,2026-06-20T02:13:29Z,,3800.0,CUST-0101,Sialkot
#1524,2026-06-20T05:36:39Z,2026-06-20T10:05:44Z,3950.0,CUST-0459,Rawalpindi
#1525,2026-06-20T11:47:57Z,,3950.0,CUST-0199,Lahore
#1526,2026-06-20T17:40:41Z,,3145.0,CUST-0460,Rawalpindi
#1527,2026-06-20T17:55:24Z,,3649.0,CUST-0446,Lahore
#1528,2026-06-20T18:41:48Z,,1650.0,CUST-0461,Karachi
#1529,2026-06-21T06:04:26Z,,3140.0,CUST-0462,Lahore
#1530,2026-06-21T10:00:50Z,,3650.0,CUST-0463,Karachi
#1531,2026-06-21T11:10:00Z,,3950.0,CUST-0464,Karachi
#1532,2026-06-21T11:26:27Z,,3950.0,CUST-0465,Multan
#1533,2026-06-21T13:21:16Z,,3950.0,CUST-0072,Rawalpindi
#1534,2026-06-21T13:36:42Z,,3950.0,CUST-0093,Karachi
#1535,2026-06-21T13:54:38Z,,3649.0,CUST-0396,Lahore
#1536,2026-06-21T15:10:40Z,,10.0,CUST-0466,Karachi
#1537,2026-06-21T17:06:57Z,,3749.1,CUST-0467,Karachi
#1538,2026-06-21T17:52:37Z,,2789.12,CUST-0468,Lahore
#1539,2026-06-21T17:58:37Z,,3950.0,CUST-0469,Lahore
#1540,2026-06-21T17:59:09Z,,3649.0,CUST-0470,Chishtian
#1541,2026-06-21T19:05:37Z,,4999.0,CUST-0471,Karachi
#1542,2026-06-21T19:43:15Z,,3949.05,CUST-0472,Lahore
#1543,2026-06-21T20:39:51Z,,3649.0,CUST-0473,Faisalabad
#1544,2026-06-21T21:00:53Z,,3949.05,CUST-0474,Rawalpindi
#1545,2026-06-21T23:51:56Z,,3949.05,CUST-0475,Karachi
#1546,2026-06-22T09:24:54Z,,3950.0,CUST-0476,Rawalpindi
#1547,2026-06-22T09:29:44Z,,3749.1,CUST-0477,Lahore
#1548,2026-06-22T10:39:52Z,,3949.05,CUST-0478,Sialkot
#1549,2026-06-22T14:44:25Z,,3145.0,CUST-0479,Karachi
#1550,2026-06-22T15:43:00Z,,6144.0,CUST-0480,Islamabad
