product_title,product_type,price,total_inventory,status
The Mean Hoodie,Hoodies,4250,2,ACTIVE
Black Henley Fairycore Top,Henley Shirts,3000,0,ACTIVE
y2k white henley fairycore bow top,Y2K Tops,3800,7,ACTIVE
Y2K Wine Red Henley Fairycore Top,Women's Tops,3800,0,ACTIVE
Black Bow-tie cardigan,Y2K Tops,1800,0,ACTIVE
Pink Bow-tie cardigan,Y2K Tops,1800,0,ACTIVE
Ribbed blossom embroidered top,Y2K Tops,3500,5,ACTIVE
Ribbed Bubbles embroidered top,Y2K Tops,3500,14,ACTIVE
White Bow-tie cardigan,Y2K Tops,1800,0,ACTIVE
Essential Ribbed Tank Top,Tank tops,1600,5,ACTIVE
heavy weight smooches tanktop,Tank tops,1700,0,ACTIVE
Cherry fitted Tee,Y2K Apparel,1900,15,UNLISTED
Goth Cat Raglan Baby Tee,baby tee,1900,2,UNLISTED
The ribbed olive tee,baby tee,2500,0,ACTIVE
The spider tee,Drop shoulder,2280,0,ACTIVE
cat couture,baby tee,1500,0,ACTIVE
the cherry top,Graphic Tee,1500,3,ACTIVE
matcha girl,baby tee,1450,6,ACTIVE
strawberry pop,baby tee,1450,3,ACTIVE
brat cat top,baby tee,2500,3,ACTIVE
stickers,Accessories,200,-22,ACTIVE
Meangirl Tote bag,Accessories,500,0,ACTIVE
Meangirl Tote bag & stickers,Accessories,700,-219,ACTIVE
Kuromi goth ribbed tee embroidered,baby tee,3499,11,ACTIVE
fairycore white skirt,Skirts,2999,47,ACTIVE
Ribbed olive buttercup tee,baby tee,3499,14,ACTIVE
LACED WINE RED TRIM TOP,Women's Tops,2995,5,ACTIVE
Fairycore black skirt,Skirts,2990,3,ACTIVE
Baby Pink laced top,Henley Shirts,3800,31,ACTIVE
Corset back blue button down,Button Downs,4200,16,ACTIVE
Corset back pink button down,Button Downs,4200,18,ACTIVE
