customer,recency_days,frequency,monetary,avg_order_value,segment,main_city,clv_6m_proxy
CUST-0002,119,1,2250.0,2250.0,Hibernating,Karachi,2377.1186440677966
CUST-0003,7,2,10745.0,5372.5,Loyal / Repeat,Lahore,11959.124293785311
CUST-0004,118,1,3950.0,3950.0,Hibernating,Lahore,4173.163841807909
CUST-0005,117,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0006,35,2,7100.0,3550.0,At-Risk Repeat,Karachi,7902.25988700565
CUST-0007,116,1,3649.0,3649.0,Hibernating,Lahore,3855.158192090395
CUST-0008,115,1,3499.0,3499.0,Hibernating,Karachi,3696.6836158192086
CUST-0009,115,1,2974.15,2974.15,Hibernating,Karachi,3142.1810734463274
CUST-0010,115,1,2974.15,2974.15,Hibernating,Karachi,3142.1810734463274
CUST-0011,115,1,2974.15,2974.15,Hibernating,Islamabad,3142.1810734463274
CUST-0012,115,1,2974.15,2974.15,Hibernating,Lahore,3142.1810734463274
CUST-0013,115,1,3499.0,3499.0,Hibernating,Hyderabad,3696.6836158192086
CUST-0014,105,2,4188.0,2094.0,At-Risk Repeat,Lahore,4661.220338983051
CUST-0015,114,1,2974.15,2974.15,Hibernating,Islamabad,3142.1810734463274
CUST-0016,114,1,3499.0,3499.0,Hibernating,Faisalabad,3696.6836158192086
CUST-0017,114,1,4250.0,4250.0,Lost Big Spender,Islamabad,4490.112994350282
CUST-0018,60,2,5624.15,2812.075,At-Risk Repeat,Other,6259.647175141243
CUST-0019,113,1,5199.0,5199.0,Lost Big Spender,Islamabad,5492.728813559322
CUST-0020,92,2,7784.25,3892.125,At-Risk Repeat,Islamabad,8663.82627118644
CUST-0021,26,2,6794.0,3397.0,At-Risk Repeat,Lahore,7561.683615819209
CUST-0022,112,1,1950.0,1950.0,Hibernating,Hyderabad,2060.1694915254234
CUST-0023,111,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0024,108,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0026,4,2,6438.12,3219.06,Loyal / Repeat,Karachi,7165.591186440678
CUST-0027,106,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0028,106,1,3649.0,3649.0,Hibernating,Hyderabad,3855.158192090395
CUST-0029,105,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0030,102,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0031,102,1,5449.0,5449.0,Lost Big Spender,Other,5756.853107344632
CUST-0032,102,1,5929.0,5929.0,Lost Big Spender,Hyderabad,6263.971751412429
CUST-0033,90,2,6300.0,3150.0,At-Risk Repeat,Lahore,7011.864406779661
CUST-0034,101,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0035,100,1,5749.0,5749.0,Lost Big Spender,Karachi,6073.802259887005
CUST-0036,100,1,2250.0,2250.0,Hibernating,Karachi,2377.1186440677966
CUST-0037,95,2,5599.0,2799.5,At-Risk Repeat,Islamabad,6231.655367231639
CUST-0038,100,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0039,100,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0040,100,1,2430.0,2430.0,Hibernating,Karachi,2567.28813559322
CUST-0041,59,2,6299.0,3149.5,At-Risk Repeat,Rawalpindi,7010.751412429379
CUST-0042,99,1,3649.0,3649.0,Hibernating,Peshawar,3855.158192090395
CUST-0043,67,2,7298.0,3649.0,At-Risk Repeat,Sialkot,8122.632768361583
CUST-0044,99,1,3649.0,3649.0,Hibernating,Lahore,3855.158192090395
CUST-0045,98,1,3150.0,3150.0,Hibernating,Karachi,3327.966101694915
CUST-0046,97,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0047,97,1,3649.0,3649.0,Hibernating,Islamabad,3855.158192090395
CUST-0048,95,1,2250.0,2250.0,Hibernating,Karachi,2377.1186440677966
CUST-0049,95,1,4750.0,4750.0,Lost Big Spender,Rawalpindi,5018.361581920904
CUST-0050,30,3,10144.5,3381.5,At-Risk Repeat,Other,11863.906779661016
CUST-0051,95,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0052,95,1,3749.0,3749.0,Hibernating,Rawalpindi,3960.80790960452
CUST-0053,95,1,3649.0,3649.0,Hibernating,Lahore,3855.158192090395
CUST-0054,94,1,3649.0,3649.0,Hibernating,Sialkot,3855.158192090395
CUST-0055,94,1,3150.0,3150.0,Hibernating,Lahore,3327.966101694915
CUST-0058,93,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0059,93,1,3150.0,3150.0,Hibernating,Karachi,3327.966101694915
CUST-0060,93,1,3649.0,3649.0,Hibernating,Sialkot,3855.158192090395
CUST-0061,2,2,6839.12,3419.56,Loyal / Repeat,Hyderabad,7611.901920903955
CUST-0062,93,1,2250.0,2250.0,Hibernating,Karachi,2377.1186440677966
CUST-0063,93,1,4400.0,4400.0,Lost Big Spender,Other,4648.587570621468
CUST-0064,93,1,1950.0,1950.0,Hibernating,Karachi,2060.1694915254234
CUST-0065,31,2,6794.0,3397.0,At-Risk Repeat,Lahore,7561.683615819209
CUST-0066,92,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0067,92,1,3649.0,3649.0,Hibernating,Islamabad,3855.158192090395
CUST-0068,92,1,3649.0,3649.0,Hibernating,Hyderabad,3855.158192090395
CUST-0069,92,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0070,91,1,3130.0,3130.0,Hibernating,Islamabad,3306.8361581920904
CUST-0071,91,1,3150.0,3150.0,Hibernating,Karachi,3327.966101694915
CUST-0072,9,4,12875.0,3218.75,Loyal / Repeat,Rawalpindi,15784.60451977401
CUST-0074,89,1,2250.0,2250.0,Hibernating,Lahore,2377.1186440677966
CUST-0075,88,1,5960.0,5960.0,Lost Big Spender,Other,6296.723163841807
CUST-0076,87,1,3150.0,3150.0,Hibernating,Karachi,3327.966101694915
CUST-0077,86,1,2250.0,2250.0,Hibernating,Other,2377.1186440677966
CUST-0078,85,1,3130.0,3130.0,Hibernating,Lahore,3306.8361581920904
CUST-0080,84,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0081,84,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0082,84,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0083,84,1,1850.0,1850.0,Hibernating,Other,1954.5197740112992
CUST-0084,84,1,3150.0,3150.0,Hibernating,Lahore,3327.966101694915
CUST-0085,84,1,3649.0,3649.0,Hibernating,Rawalpindi,3855.158192090395
CUST-0086,84,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0087,44,2,10398.1,5199.05,At-Risk Repeat,Karachi,11573.026553672318
CUST-0088,82,1,5960.0,5960.0,Lost Big Spender,Karachi,6296.723163841807
CUST-0089,81,1,2250.0,2250.0,Hibernating,Lahore,2377.1186440677966
CUST-0090,79,1,4700.0,4700.0,Lost Big Spender,Islamabad,4965.536723163841
CUST-0091,77,1,2430.0,2430.0,Hibernating,Other,2567.28813559322
CUST-0092,77,1,3150.0,3150.0,Hibernating,Lahore,3327.966101694915
CUST-0093,11,2,7599.0,3799.5,Loyal / Repeat,Karachi,8457.644067796611
CUST-0094,18,2,6794.0,3397.0,Loyal / Repeat,Islamabad,7561.683615819209
CUST-0095,75,1,1750.0,1750.0,Hibernating,Other,1848.870056497175
CUST-0096,75,1,3649.0,3649.0,Hibernating,Karachi,3855.158192090395
CUST-0097,70,3,9199.0,3066.333333333333,At-Risk Repeat,Karachi,10758.152542372882
CUST-0098,75,1,3649.0,3649.0,Hibernating,Lahore,3855.158192090395
CUST-0099,75,1,5299.0,5299.0,Lost Big Spender,Lahore,5598.378531073446
CUST-0100,75,1,3649.0,3649.0,Hibernating,Multan,3855.158192090395
CUST-0101,12,2,6950.0,3475.0,Loyal / Repeat,Sialkot,7735.310734463277
CUST-0102,74,1,3649.0,3649.0,Hibernating,Faisalabad,3855.158192090395
CUST-0103,74,1,2250.0,2250.0,Hibernating,Hyderabad,2377.1186440677966
CUST-0104,73,1,1950.0,1950.0,Hibernating,Other,2060.1694915254234
CUST-0105,73,1,1750.0,1750.0,Hibernating,Other,1848.870056497175
CUST-0106,73,1,3150.0,3150.0,Hibernating,Lahore,3327.966101694915
CUST-0107,72,1,1950.0,1950.0,Hibernating,Islamabad,2060.1694915254234
CUST-0108,72,1,3649.0,3649.0,Hibernating,Other,3855.158192090395
CUST-0109,58,2,7600.0,3800.0,At-Risk Repeat,Karachi,8458.757062146893
CUST-0110,67,1,2250.0,2250.0,Hibernating,Karachi,2377.1186440677966
CUST-0111,67,1,1750.0,1750.0,Hibernating,Rawalpindi,1848.870056497175
CUST-0113,67,1,3649.0,3649.0,Hibernating,Rawalpindi,3855.158192090395
CUST-0114,66,1,3650.0,3650.0,Hibernating,Rawalpindi,3856.214689265536
CUST-0115,61,2,8050.0,4025.0,At-Risk Repeat,Lahore,8959.604519774011
CUST-0116,40,2,6794.0,3397.0,At-Risk Repeat,Lahore,7561.683615819209
CUST-0117,64,1,1850.0,1850.0,Hibernating,Karachi,1954.5197740112992
CUST-0118,64,1,1950.0,1950.0,Hibernating,Karachi,2060.1694915254234
CUST-0119,64,1,3991.6,3991.6,Lost Big Spender,Rawalpindi,4217.114124293785
CUST-0120,64,1,4558.0,4558.0,Lost Big Spender,Multan,4815.514124293785
CUST-0121,53,2,6780.0,3390.0,At-Risk Repeat,Lahore,7546.1016949152545
CUST-0122,63,1,2460.0,2460.0,Hibernating,Other,2598.983050847457
CUST-0123,63,1,3649.0,3649.0,Hibernating,Lahore,3855.158192090395
CUST-0124,61,1,1950.0,1950.0,Hibernating,Faisalabad,2060.1694915254234
CUST-0125,18,2,6300.0,3150.0,Loyal / Repeat,Karachi,7011.864406779661
CUST-0126,60,1,3650.0,3650.0,Hibernating,Rawalpindi,3856.214689265536
CUST-0127,60,1,2500.0,2500.0,Hibernating,Other,2641.2429378531074
