month,order_referrer_source,orders,total_sales,month_label
2026-02-01,direct/unknown,1,3250.0,2026-02 (Feb)
2026-03-01,search,3,11378.0,2026-03 (Mar)
2026-03-01,social,29,99621.4,2026-03 (Mar)
2026-03-01,direct/unknown,31,93043.75,2026-03 (Mar)
2026-04-01,search,4,14360.0,2026-04 (Apr)
2026-04-01,social,13,38906.0,2026-04 (Apr)
2026-04-01,direct/unknown,50,152279.6,2026-04 (Apr)
2026-05-01,direct/unknown,170,773846.34,2026-05 (May)
2026-05-01,search,10,28185.0,2026-05 (May)
2026-06-01,direct/unknown,200,797056.31,2026-06 (Jun)
2026-06-01,search,27,121891.01,2026-06 (Jun)
2026-06-01,social,81,315768.55,2026-06 (Jun)
2026-07-01,direct/unknown,8,47085.24,2026-07 (Jul)
2026-07-01,social,5,14800.0,2026-07 (Jul)
