product_title,gross_sales,discounts,net_sales,orders,net_items_sold,rank,cum_share_pct,product_label
Y2K Wine Red Henley Fairycore Top,495730,-7522.85,466611.15,136,130,1,18.0,01 · Y2K Wine Red Henley Fairycore Top
LACED WINE RED TRIM TOP,359705,-3294.5,335445.5,117,113,2,31.0,02 · LACED WINE RED TRIM TOP
Ribbed blossom embroidered top,210380,-5010.0,201870.0,61,60,3,38.6,03 · Ribbed blossom embroidered top
fairycore white skirt,171934,-18218.89,143158.63,56,53,4,44.9,04 · fairycore white skirt
Corset back pink button down,163689,-6162.0,153679.5,38,37,5,50.8,05 · Corset back pink button down
y2k white henley fairycore bow top,152649,-349.9,137750.0,38,36,6,56.3,06 · y2k white henley fairycore bow top
Corset back blue button down,148893,-8269.5,119023.5,34,29,7,61.7,07 · Corset back blue button down
Baby Pink laced top,144400,-760.0,136420.0,38,36,8,67.0,08 · Baby Pink laced top
Meangirl Tote bag & stickers,142800,-142170.0,630.0,204,197,9,72.2,09 · Meangirl Tote bag & stickers
Kuromi goth ribbed tee embroidered,140570,-3500.0,137070.0,40,40,10,77.2,10 · Kuromi goth ribbed tee embroidered
Ribbed Bubbles embroidered top,135460,-1540.0,133920.0,38,39,11,82.2,11 · Ribbed Bubbles embroidered top
Ribbed olive buttercup tee,90974,-1119.68,89854.32,26,26,12,85.5,12 · Ribbed olive buttercup tee
brat cat top,90500,-1450.0,89050.0,37,37,13,88.7,13 · brat cat top
Fairycore black skirt,62790,-299.0,59501.0,21,20,14,91.0,14 · Fairycore black skirt
Black Henley Fairycore Top,48000,0.0,42000.0,16,14,15,92.8,15 · Black Henley Fairycore Top
the cherry top,32500,-2350.0,30150.0,16,16,16,93.9,16 · the cherry top
matcha girl,29950,-145.0,29805.0,16,16,17,95.0,17 · matcha girl
The ribbed olive tee,29400,0.0,29400.0,14,14,18,96.1,18 · The ribbed olive tee
Pink Bow-tie cardigan,18000,-2250.0,15750.0,10,10,19,96.7,19 · Pink Bow-tie cardigan
The Mean Hoodie,17000,0.0,17000.0,4,4,20,97.4,20 · The Mean Hoodie
cat couture,12850,-1425.0,11425.0,8,8,21,97.8,21 · cat couture
strawberry pop,11700,0.0,11700.0,6,6,22,98.2,22 · strawberry pop
The spider tee,11400,-912.0,10488.0,5,5,23,98.7,23 · The spider tee
heavy weight smooches tanktop,10200,0.0,10200.0,6,6,24,99.0,24 · heavy weight smooches tanktop
Essential Ribbed Tank Top,9600,0.0,9600.0,6,6,25,99.4,25 · Essential Ribbed Tank Top
Black Bow-tie cardigan,9000,0.0,9000.0,5,5,26,99.7,26 · Black Bow-tie cardigan
stickers,4600,-4600.0,0.0,23,22,27,99.9,27 · stickers
White Bow-tie cardigan,3600,0.0,3600.0,2,2,28,100.0,28 · White Bow-tie cardigan
